,history,n
1,hypertension,3677
2,asthma,1858
3,diabetes,2012
5,allergy,1289
10,hypothyroidism,1009
11,depression,896
12,anxiety,867
14,gerd,823
15,disorder,819
16,hyperlipidemia,757
20,arthritis,692
29,covid,632
30,cancer,605
32,pain,579
34,obesity,532
36,migraines,747
37,high cholesterol,446
38,copd,438
39,kidney,438
42,anemia,358
43,thyroid,354
47,atrial,334
51,dementia,316
53,dm,307
54,osteoarthritis,301
62,atrial fibrillation,287
63,hx,286
65,reflux,279
68,penicillin,266
73,heart failure,260
74,sleep apnea,258
75,cad,256
81,osteoporosis,245
84,afib,229
85,hypothyroid,229
88,allergic,228
89,fibromyalgia,222
91,breast cancer,213
92,back pain,208
93,coronary artery,208
94,rheumatoid,204
95,surgery,201
96,rheumatoid arthritis,193
101,ckd,184
103,valve,180
107,sulfonamide,172
108,sulfonamide allergy,171
110,neuropathy,170
111,stenosis,168
112,pulmonary,167
113,hashimotos,164
114,rhinitis,164
116,bph,161
117,chf,159
118,ibs,158
119,na,158
120,diagnosis,157
121,low,157
122,abnormal,155
123,hypertension hyperlipidemia,154
124,sp,154
125,gout,150
126,anxiety depression,149
127,depression anxiety,147
128,aortic,146
129,food,146
130,type diabetes mellitus,146
131,obstructive,145
132,cardiac,144
133,allergic rhinitis,143
134,vitamin,143
135,stroke,141
136,glaucoma,139
137,lung,139
138,renal,139
139,insomnia,138
140,adhd,137
141,vaccination,134
142,hld,132
143,due,131
144,tachycardia,131
145,multiple,130
146,knee,127
147,prostate,127
148,congestive,126
149,acid,124
150,bipolar,124
151,infection,124
152,peripheral,122
153,congestive heart,121
154,secondary,121
155,congestive heart failure,119
156,major,119
157,psoriasis,119
158,lupus,118
159,d deficiency,117
160,benign,115
161,drug,115
162,type ii,114
163,e,112
164,eye,112
165,vitamin d,112
166,loss,111
167,autoimmune,110
168,constipation,110
169,acid reflux,109
170,i,109
171,liver,109
172,cell,108
173,pcos,108
174,dysphagia,106
175,prior vaccination,106
176,severe,106
177,issues,105
178,remission,105
179,prediabetes,104
180,vascular,104
181,bilateral,103
