state1,state2,party,vaccinations,case
Alabama,AL,REPUBLICAN,1857084,295
Alaska,AK,REPUBLICAN,409737,167
Arizona,AZ,DEMOCRAT,3720280,659
Arkansas,AR,REPUBLICAN,1401991,266
California,CA,DEMOCRAT,20007875,2576
Colorado,CO,DEMOCRAT,2853746,617
Connecticut,CT,DEMOCRAT,2087314,524
Delaware,DE,DEMOCRAT,502067,66
District of Columbia,DC,DEMOCRAT,393558,55
Florida,FL,REPUBLICAN,10336492,1653
Georgia,GA,DEMOCRAT,4259559,628
Hawaii,HI,DEMOCRAT,757030,134
Idaho,ID,REPUBLICAN,809203,157
Illinois,IL,DEMOCRAT,6395119,1134
Indiana,IN,REPUBLICAN,2954304,1142
Iowa,IA,REPUBLICAN,1656828,334
Kansas,KS,REPUBLICAN,1420235,294
Kentucky,KY,REPUBLICAN,2257078,442
Louisiana,LA,REPUBLICAN,2059431,317
Maine,ME,DEMOCRAT,755906,235
Maryland,MD,DEMOCRAT,3120777,693
Massachusetts,MA,DEMOCRAT,3945118,842
Michigan,MI,DEMOCRAT,4893994,920
Minnesota,MN,DEMOCRAT,2967948,603
Mississippi,MS,REPUBLICAN,1230282,150
Missouri,MO,REPUBLICAN,2737742,556
Montana,MT,REPUBLICAN,545425,262
Nebraska,NE,REPUBLICAN,984215,263
Nevada,NV,DEMOCRAT,1450906,197
New Hampshire,NH,DEMOCRAT,777640,202
New Jersey,NJ,DEMOCRAT,4898757,835
New Mexico,NM,DEMOCRAT,1326595,228
New York,NY,DEMOCRAT,1326595,1781
North Carolina,NC,REPUBLICAN,5065455,751
North Dakota,ND,REPUBLICAN,422214,101
Ohio,OH,REPUBLICAN,5725859,1072
Oklahoma,OK,REPUBLICAN,2031801,333
Oregon,OR,DEMOCRAT,2030596,363
Pennsylvania,PA,DEMOCRAT,6528483,1011
Rhode Island,RI,DEMOCRAT,603684,111
South Carolina,SC,REPUBLICAN,2343863,286
South Dakota,SD,REPUBLICAN,506969,116
Tennessee,TN,REPUBLICAN,2760141,525
Texas,TX,REPUBLICAN,12635607,1806
Utah,UT,REPUBLICAN,1460537,229
Vermont,VT,DEMOCRAT,357235,105
Virginia,VA,DEMOCRAT,4476029,726
Washington,WA,DEMOCRAT,3898372,629
West Virginia,WV,REPUBLICAN,881081,219
Wisconsin,WI,DEMOCRAT,3165846,649
Wyoming,WY,REPUBLICAN,274224,53
