,tokenize,n
17590,shot,401
931,arm,401
5204,effect,389
17645,side,385
20443,vaccination,365
6522,forced,352
8905,india,348
18013,sore,337
4071,death,313
3439,coronavirus,312
5405,emergency,310
16913,russia,298
3555,covidvaccine,287
12927,new,287
9421,jab,284
20436,vaccinated,249
7039,getting,212
7811,health,212
18333,still,212
19954,uk,205
5396,embarrassing,186
22425,yesterday,176
12934,news,174
16332,reporting,168
16082,reaction,159
16578,risk,158
6178,feel,157
4382,died,156
14168,pain,153
18361,stop,144
1853,blood,139
5766,even,137
1325,bad,136
5216,efficacy,132
125,ache,131
1929,body,129
11233,lockdown,129
21678,world,127
1740,biontech,126
11111,little,126
7798,headache,124
16130,received,121
3568,covishield,120
3965,data,120
6220,fever,118
11591,make,118
6065,far,117
7323,government,115
9014,injection,115
8348,hurt,114
