,tokenize,n
39633,vaccine,11111
6602,covid,7594
23703,moderna,5474
6573,covaxin,3144
11789,first,2867
8723,dose,2367
35169,sputnikv,2194
28356,pfizerbiontech,1805
28353,pfizer,1653
8721,dos,1501
13775,got,1481
34206,shot,1413
39608,vaccination,1405
34413,sinopharm,1392
5421,china,1228
32889,russia,1217
34422,sinovac,1216
39589,vaccinated,1211
37398,today,1198
16917,india,1193
13155,get,1121
6664,covidvaccine,1078
33704,second,970
1954,astrazeneca,903
6457,coronavirus,885
31500,received,842
26978,one,818
27598,oxfordastrazeneca,784
7508,day,661
37737,trial,647
23341,million,646
6545,country,642
4828,case,592
36295,take,583
33408,say,576
24700,narendramodi,569
28237,people,567
10709,eu,547
2624,batch,546
9724,efficacy,544
5438,chinese,528
41425,week,511
14841,health,503
23373,minister,500
3345,biotech,500
3160,bharatbiotech,490
4664,canada,489
28471,phase,487
8671,done,478
35164,sputnik,449
