id,user_name,user_location,user_description,user_created,user_followers,user_friends,user_favourites,user_verified,date,text,hashtags,source,retweets,favorites,is_retweet
1.33773E+18,"Party politics isn't working for anyone, anywhere","Wales, United Kingdom","No lie to another is respectful; no lie to yourself is healthy.   ""Official lies"" should mean ""Official jail""",2016/8/3 20:11,761,504,33675,FALSE,2020/12/12 12:16,"@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 

the #PfizerBioNTech a… https://t.co/IWELAATAmd",['PfizerBioNTech'],Twitter Web App,0,0,FALSE
1.34057E+18,IP_Man,America,"One Man, 
With One Statistically Impossible Graph,
The Republic Of The United States At Stake, 
You Need To Wake Up Friends Neighbors To The Fact They CHEATED!",2012/6/21 1:41,625,477,14475,FALSE,2020/12/20 8:15,"When The #CovidVaccine 
Poisons Enough Of The LEFT With ""Side Effects"" Like #BellsPalsy Or ?? As They Are Flocking… https://t.co/mGNvf2XT8i","['CovidVaccine', 'BellsPalsy']",Twitter Web App,0,0,FALSE
1.33862E+18,"Nicole Van Groningen, MD","Los Angeles, CA","Assistant Professor of Medicine and Hospitalist at @CedarsSinai. Freelance writer. Tweets on health, wellness, advocacy, and COVID19. #WearAMask.",2014/8/2 2:30,1946,807,1031,FALSE,2020/12/14 22:55,Concerned about the side effects of the #PfizerBioNTech #COVID19 vaccine?  Check out my recap ???? https://t.co/P6yfRwS3Fq,"['PfizerBioNTech', 'COVID19']",Twitter for iPhone,1,7,FALSE
1.33797E+18,LatestLY,"Mumbai, India","https://t.co/U4rHOvEUQR focuses on the What, When, Who and How of a trending story, and helps readers with analyses that go beyond the domain of news. https://t.co/OCtmVDjYfd",2017/2/7 5:41,67096,344,118,TRUE,2020/12/13 4:16,Pfizer-BioNTech COVID-19 Vaccine Side Effects: Canada Warns Allergic People Against Pfizer-BioNTech Coronavirus Vac… https://t.co/4pMEWHlln5,,Twitter Web App,0,0,FALSE
1.3389E+18,RoyaNewsEnglish,,"Roya TV's official English language account, delivering top local and international news.",2015/7/30 10:12,3158,62,41,FALSE,2020/12/15 17:15,"INFOGRAPHIC: The #FDA declared the possibility of seven side effects from the #PfizerBioNTech vaccine.

Read more a… https://t.co/sH0EnXY5ei","['FDA', 'PfizerBioNTech']",Twitter Web App,0,0,FALSE
1.33939E+18,"Melissa L. Wilk, PharmD","Providence, RI",Clinical Pharmacist. Patient Advocate. Feminist. Dog Mom. Wife to @mtwilk ??,2012/9/7 4:10,28,70,260,FALSE,2020/12/17 2:12,PVD(post vaccine day)2... NO SIDE EFFECTS!!! #CovidVaccine #PfizerBioNTech,"['CovidVaccine', 'PfizerBioNTech']",Twitter for iPhone,0,2,FALSE
1.33984E+18,"Chung E. Lip, MPH, CHES?, RN-BSN?",United States,Health is a human right. No one deserves more or less quality of care than others despite our differences.,2020/11/16 1:54,29,839,133,FALSE,2020/12/18 7:47,"Got my covid vaccine yesterday. The side effects have been unbearable! 

My ego has been off the roof and I can’t s… https://t.co/DvkWmVJn8b",,Twitter for iPhone,0,1,FALSE
1.3397E+18,Chris G.,Kansas,Stay blessed & get money | Forex & stocks trader | Bitcoin Hodler| #blacklivesmatter ?????????????,2020/9/22 3:05,33,103,137,FALSE,2020/12/17 22:14,So apparently if you come by damaging side effects of the #PfizerBioNTech #Pfizervaccine you CANNOT pursue legal ac… https://t.co/M6jRD4u4Zb,"['PfizerBioNTech', 'Pfizervaccine']",Twitter Web App,0,0,FALSE
1.33944E+18,Trudeau Kabuki ?? ?? ?? ?,Moronto City Of #Morons Canada,"Anti-Trudeau #FireTrudeau #TraitorTrudeau
#TrudeauDictatorship #TrudeauCorruption 
Potus2020??????
Views are my own.",2018/1/15 22:24,1075,1191,50863,FALSE,2020/12/17 5:17,@JohnTory There's been a lot of Great vaccine reports on disastrous  side effects #PfizerCOVIDvaccine &amp; #Moderna ????… https://t.co/qx0IuBU88P,"['PfizerCOVIDvaccine', 'Moderna']",Twitter Web App,0,0,FALSE
1.34005E+18,Canadian Advocacy Centre 4 Health Safety & Justice,Canada ,#CACHSJ advocates for #civilrights #humanrights #digital #information & #privacyrights; #healthsovereignty  #mentalhealth rights; #workerrights #employmentlaw,2020/9/10 19:03,582,1983,595,FALSE,2020/12/18 21:44,"#COVIDvaccine side effects. Not mentioned on #HealthCanada website, or in submissions from #PfizerBioNTech for HC a… https://t.co/BmebDBz7nI","['COVIDvaccine', 'HealthCanada', 'PfizerBioNTech']",Twitter Web App,0,2,FALSE
1.33995E+18,FinanceTweeter,,,2010/8/15 10:10,1305,1,1,FALSE,2020/12/18 14:55,"Before You Rush For #COVID19 #Vaccine, Remember This - You Can't Sue Anyone If Suffer Any Serious Side Effects -… https://t.co/Pd2LPBUKIP","['COVID19', 'Vaccine']",Twitter Web App,2,2,FALSE
1.34035E+18,drLogo,Kansas,"Royals, Jayhawks, and Chiefs fan. Kansas OB.",2011/5/24 13:16,75,253,886,FALSE,2020/12/19 17:20,"Vaccine side effect update, 48 hrs. My arm is not very sore, but the deltoid at the injection site is swollen.  I w… https://t.co/iKJhEPaCWE",,Twitter for iPhone,0,1,FALSE
1.3406E+18,Dr John Austin Crosby,"North West, England",Consultant Forensic Psychiatrist working in NHS secure mental healthcare and Deputy Medical Director - Proud son of County Durham,2018/7/11 17:07,419,247,3932,FALSE,2020/12/20 10:14,"No side effects apart from a very minor ache in my arm from #PfizerBioNTech #CovidVaccine, it’s meant to make you f… https://t.co/E9aJLEwb4V","['PfizerBioNTech', 'CovidVaccine']",Twitter for iPhone,0,20,FALSE
1.34049E+18,Marc Siegel MD,,"@FoxNews Med contributor, Professor Medicine @nyulangone, nothing opinion of employer, Medical Director NYUDoctorRadio @SiriusXm https://t.co/E9GVSZXKKT",2010/6/1 21:30,36437,541,10316,FALSE,2020/12/20 2:41,FDA investigating five allergic reactions after Pfizer shot in U.S | Reuters - very rare side effect could be… https://t.co/Ex4DS6IoyO,,Twitter for iPhone,7,21,FALSE
1.34255E+18,Donna Abu-Nasr,Riyadh,"Bloomberg bureau chief Riyadh. Covering Saudi Arabia, Yemen, Bahrain. Opinions my own. Previously @AP.",2011/2/25 18:49,2458,2206,2774,FALSE,2020/12/25 19:14,Got one of those after the first dose of #covidvaccine in #Riyadh #SaudiArabia on Christmas Eve. Only side effect s… https://t.co/PTHOvJNWis,"['covidvaccine', 'Riyadh', 'SaudiArabia']",Twitter for iPad,9,36,FALSE
1.34242E+18,Shazia,"KSCKD, C2 Riyadh","MSC,MBA,CIC. Certified Infection Control Professional",2016/3/27 17:32,64,280,1013,FALSE,2020/12/25 10:32,Vaccinated 1st dose against COVID-19 #PfizerBioNTech . Mild to moderate local injection site side effects… https://t.co/wEpOnJoQVG,['PfizerBioNTech'],Twitter for iPhone,0,0,FALSE
1.34211E+18,Dr. Haidy G. Nasief,Medical college of Wisconsin ,,2018/10/21 14:09,162,266,2193,FALSE,2020/12/24 14:04,#IGotTheShot it’s day 2 after receiving my #CovidVaccine  @Froedtert no side effect so far other than a sore arm at… https://t.co/OVyHcbCCXs,"['IGotTheShot', 'CovidVaccine']",Twitter for iPhone,0,4,FALSE
1.3421E+18,Vujo Ili?,"Belgrade, Republic of Serbia","political science phd @ceu / research @ifdt_beograd / policy @crtars / balkans, conflict, democracy / formerly: election team @nedavimobgd, predoc fellow @yale",2009/11/10 11:27,2000,2098,16342,FALSE,2020/12/24 13:19,"Also, if mistyping Pfizer is the only side effect, that's good news. #PfizerBioNTech
#PhizerBioNTech 
#FeizerBiontec https://t.co/7b0XvWiZlO","['PfizerBioNTech', 'PhizerBioNTech', 'FeizerBiontec']",Twitter for Android,2,10,FALSE
1.34202E+18,Ceri-Anne Ashby,Northamptonshire,"Busy Mum, Reader in the Church of England. Committed NHS worker.  Former nurse. Often found catching up with people over a cuppa! All views my own.",2011/12/24 16:49,135,232,1556,FALSE,2020/12/24 8:08,"Day six post #PfizerBioNTech #CovidVaccine  and I am absolutely fine - no pain, no side effects at all.  Had Covid… https://t.co/Tzv3p7a5rO","['PfizerBioNTech', 'CovidVaccine']",Twitter for Android,0,3,FALSE
1.34146E+18,steven park,"Edinburgh, Scotland","interests include medicine and sports performance (dabbler only)! Sprints. Aspiring to consider world issues with a neutral, balanced and empathetic approach",2019/6/25 21:59,27,82,644,FALSE,2020/12/22 19:05,"3 hours since my first #PfizerBioNTech #CovidVaccination 
For me, no side effects noted thus far. The widely descri… https://t.co/W8ImZqL90m","['PfizerBioNTech', 'CovidVaccination']",Twitter for iPhone,0,3,FALSE
1.34142E+18,Ismail.Dalloul,Doha Qatar ,"Road Safety/Transportation Engineer, Co-Founder @ibtkar_Qa Traveling The World ( beyond the limits)",2013/1/4 15:15,314,254,577,FALSE,2020/12/22 16:46,"Everyone one thinking about side effects of COVID-19 vaccine, read this ! #Pfizervaccine #PfizerBioNTech #FDA 

https://t.co/mbbEdWzC3J","['Pfizervaccine', 'PfizerBioNTech', 'FDA']",Twitter for iPhone,0,0,FALSE
1.3411E+18,"Summit Shah, MD, MPH","Columbus, OH",Pediatric Radiologist @NationwideKids | Nuclear Medicine & Oncologic Imaging | Healthcare Quality & Efficiency | Global & Public Health | #PedsRad #NucMed,2012/12/16 17:52,247,158,386,FALSE,2020/12/21 19:32,"Both #COVID19 vaccines are up to 95% effective and based on mRNA with similar mild side effect profile!
#Pfizer… https://t.co/98bcS88dTD","['COVID19', 'Pfizer']",Twitter for iPhone,0,3,FALSE
1.34362E+18,Joeistherealest,,ima hurt her feelings,2018/11/18 2:19,40,54,986,FALSE,2020/12/28 18:01,I GOT THE PFIZER VACCINE | MY SIDE EFFECTS https://t.co/GBHm40hNcJ via @YouTube #vaccine #PfizerBioNTech #Pfizervaccine,"['vaccine', 'PfizerBioNTech', 'Pfizervaccine']",Twitter for iPhone,0,0,FALSE
1.34397E+18,Abbey Bracken,,NHS Doctor - Academic F1 / COVID-19 Interim / Aspiring Paediatrician / NWoE / Amateur Baker / Football Enthusiast,2020/7/31 17:41,9,41,74,FALSE,2020/12/29 17:07,48 hours after the 1st dose of #PfizerBioNTech vaccine and only side effect was a sore arm (and that wouldn't have… https://t.co/wKMHEYSgjN,['PfizerBioNTech'],Twitter for Android,0,0,FALSE
1.34682E+18,Mira Bosso,Kuwait,"A researcher, an introvert and all around skeptical optimist!  ???? ???? #M.Sc.(pathology), B.D.S. #Genomics #Pathology #translational_research",2009/7/23 12:04,196,750,1534,FALSE,2021/1/6 13:48,Is the Moderna Vaccine Safe? Allergic Reactions and Side Effects https://t.co/r9MQTBdEu0 via @YouTube  #vaccine… https://t.co/MXa9Ad6uOh,['vaccine'],Twitter Web App,0,0,FALSE
1.34589E+18,sabitarahim,India,,2013/12/11 18:57,629,387,6823,FALSE,2021/1/4 0:23,"Ps. 
Nope.They didn't have any side effects after taking the vaccine.
Just a bit of discomfort on the injected area… https://t.co/J4bRETVedp",,Twitter for Android,0,1,FALSE
1.34581E+18,Kamalakannan A R,"Trento, Italy","Founder and Director of Ornata AI Tech LLP
https://t.co/E2irb3aAna, https://t.co/XK3efVdzTt, https://t.co/UlsDvkYP4w


AI researcher, engineer. Entrepreneur, renaissance man..
#JustKamalThings",2009/6/9 15:08,76,10,1128,FALSE,2021/1/3 19:10,"Pfizer also gave some side effects. Yet this was for people with allergic reactions earlier.

In any case, vaccinat… https://t.co/XS0z7XYr8H",,Twitter Web App,0,0,FALSE
1.34554E+18,"Melissa L. Wilk, PharmD","Providence, RI",Clinical Pharmacist @RIHospital. Patient Advocate. Feminist. ?? Mom. Wife to EM Dr. @mtwilk                                  -Views are my own-,2012/9/7 4:10,63,118,364,FALSE,2021/1/3 1:02,2nd dose of #PfizerBioNTech #CovidVaccine done. No side effects almost 12 hours later. Let the immunity begin!!! Th… https://t.co/D3cRBzJdpI,"['PfizerBioNTech', 'CovidVaccine']",Twitter for iPhone,10,170,FALSE
1.34655E+18,WTX Jet,West Texas,"No children that I know of, Uncle to 3 & mentor to many. Love to travel especially by airplane or cruise ship. Some say witty ~ Definitely sarcastic ~",2011/4/30 1:57,82,103,10501,FALSE,2021/1/5 20:05,Update: I'm 24 hours post 2nd dose &amp; I've experienced no side effects. What will be interesting is this because I'v… https://t.co/GYVXEEqn2H,,Twitter for iPhone,0,6,FALSE
1.34624E+18,"Lizbeth Cahuayme, MD, FIDSA","Texas, USA",Transplant Infectious Disease @BSWHealth Educator|Researcher|Traveler|Runner?????♀?. *Wife*Mom*Daughter. #TxID #TB #latinasinmedicine ???? Tweets mine,2011/5/24 4:08,595,675,1153,FALSE,2021/1/4 23:37,Grateful to get second #PfizerBioNTech vaccine. I may have tolerable side effects but I am more excited to protect… https://t.co/7NY6bCWvQy,['PfizerBioNTech'],Twitter for iPhone,2,23,FALSE
1.34682E+18,Mira Bosso,Kuwait,"A researcher, an introvert and all around skeptical optimist!  ???? ???? #M.Sc.(pathology), B.D.S. #Genomics #Pathology #translational_research",2009/7/23 12:04,212,830,1626,FALSE,2021/1/6 13:53,Is the Moderna Vaccine Safe? Allergic Reactions and Side Effects https://t.co/r9MQTBdEu0 via @YouTube   #vaccine… https://t.co/uLbCJbWaWa,['vaccine'],Twitter Web App,0,2,FALSE
1.34663E+18,Lori,,Political Activist for healthcare ???? #ontarionurses #nursetwitter #canadavotes #cdnpoli #onpoli #bill124 #nursesvote ????retweets are not always endorsements,2014/3/29 4:02,601,994,20627,FALSE,2021/1/6 1:40,"@TurnbullWhitby  guess who got their 1st vaccine today of the #PfizerBioNTech 

So far so good! No side effects!",['PfizerBioNTech'],Twitter for iPhone,0,10,FALSE
1.34909E+18,D Kraleva,"Nottingham, England",#RegisteredDietitian currently working at University Hospital ?? of Leicester|| MSc Dietetics ????? Birmingham City University ???? BSc Hons Nutrition UoN??,2018/3/7 22:11,163,139,162,FALSE,2021/1/12 20:33,"Had my COVID-19 vaccine on Friday ?? and experienced most of the side effects #COVIDVaccination #PfizerBioNTech 
- h… https://t.co/8zGRzftQWM","['COVIDVaccination', 'PfizerBioNTech']",Twitter for iPhone,0,7,FALSE
1.3487E+18,Mi_KAM,,"“To live is the rarest thing in the world. Most people exist, that is all.”. – Oscar Wilde.",2018/5/12 20:15,1170,2056,36321,FALSE,2021/1/11 18:42,@talkRADIO @iancollinsuk I wonder how many of those so called admissions will be as a result of the side effects of… https://t.co/YJIp76FogE,,Twitter Web App,0,1,FALSE
1.3471E+18,Jayne E NQM,,"Newly Qualified Midwife, lover of life, travel and books! ??",2012/5/4 8:19,503,1172,8057,FALSE,2021/1/7 8:55,"“I’ve had my COVID vaccination”. I had my vaccine yesterday, for anyone worrying about side effects I have some ten… https://t.co/icMjIfjL7s",,Twitter for iPhone,0,14,FALSE
1.34761E+18,SarahWatchesStuff,,"NP, loves trash tv, believes in science.  Strong opinions based on minimal actual knowledge. ((or more likely, just scrolling to avoid actual responsibilities))",2020/8/28 14:37,20,143,935,FALSE,2021/1/8 18:05,"#PfizerBioNTech dose 2: ? 
So far I’ve not become ill or had any significant side effects, although the photo compa… https://t.co/lWsMmVYAyR",['PfizerBioNTech'],Twitter for iPhone,1,4,FALSE
1.3476E+18,Lesley,"Portland, ME","Cardiothoracic Nurse, enjoys theology, bourbon & involving the colors grey & white.",2015/9/18 11:05,51,411,1442,FALSE,2021/1/8 17:47,"?Second Covid Vaccine
Side Effects: sore arm &amp; gratefulness 

Please consider getting the shot when it’s available… https://t.co/389LYE3p1o",,Twitter for iPhone,0,0,FALSE
1.34755E+18,Cassie,"Minneapolis, MN","Artist ??, Baker, & sometimes sassy. Snapchat: cadillac644 *Art- https://t.co/l0jlIslSyh",2010/5/24 7:51,300,551,13328,FALSE,2021/1/8 14:13,"So I got the first part/dose of the vaccine Wed afternoon, had some of the side effects that are expected yesterday… https://t.co/uVfn2MJfy0",,Twitter for iPhone,0,0,FALSE
1.34755E+18,Adam,"St Louis, MO","Host @PHN_Podcast, #NHL Editor for @ProHockeyNews. #Hoosiers #Cubs #DadOfDaughters #Voter",2013/9/19 1:12,466,1031,8374,FALSE,2021/1/8 14:05,"Just found out as a #PfizerBioNTech study participant, I was in the vaccine group. I have seen no side effects and… https://t.co/CHKCnnBZ4D",['PfizerBioNTech'],Twitter Web App,0,6,FALSE
1.34732E+18,Robert Meriruoho,"Tukholma, Ruotsi",Published poet and a reg. Nurse from Turku Finland. Currently studying Global Masters Programme in Health Informatics at Karolinska Institute.,2017/6/14 7:20,46,305,626,FALSE,2021/1/7 23:23,Got Pfizer / Biontech Covid19 vaccine today. Getting it was painless and have not felt any side effects. Strongly r… https://t.co/SmFXEqUMjl,,Twitter for Android,0,3,FALSE
1.34727E+18,Noah Ditkofsky,"Toronto, Ontario",Emergency & Trauma Radiologist. ETAC division head @ St. Michaels’s hospital. OMA Board director. My own opinions & never medical advice.,2013/12/26 3:56,307,513,606,FALSE,2021/1/7 19:39,"I am experiencing a strange post vaccine side effect. I have this sense of hope, and a strange urge to buy a #Tesla… https://t.co/HWDGGJDVGr",['Tesla'],Twitter for iPhone,0,1,FALSE
1.34796E+18,"Nataniel Lester-Coll, MD","Vermont, USA",MD @PennMedicine ? #RadOnc @YaleMed ?? @UVMMedCenter ? GU and thoracic cancers ? #AdvancesRO editor #HSRonc #OncoAlert ??? Married @candaspinar,2014/1/14 21:31,3629,1698,21249,TRUE,2021/1/9 17:39,"@meganranney Interestingly, I had fewer systemic side effects after dose #2 of #PfizerBioNTech.  Arm soreness was m… https://t.co/uvIRL2T3sK",['PfizerBioNTech'],Twitter for Mac,0,5,FALSE
1.34791E+18,Niamh,,25- Medical NCHD- Cork ??,2011/5/29 15:26,283,179,927,FALSE,2021/1/9 14:22,First dose of #PfizerBioNTech COVID vaccine received - feeling great &amp; no side effects so far! ????A great end to wha… https://t.co/EOso9x3pYh,['PfizerBioNTech'],Twitter for iPhone,1,18,FALSE
